ID1,Affinal_ID,Affinal_r
6002003,6002387,"[0,0.125)   "
6002003,6002269,"[0,0.125)   "
6002003,6002551,"[0,0.125)   "
6002004,6002387,"[0,0.125)   "
6002004,6002269,"[0,0.125)   "
6002004,6002551,"[0,0.125)   "
6002005,6002361,"[0,0.125)   "
6002008,6002361,"[0,0.125)   "
6002010,6002358,"[0,0.125)   "
6002010,6002100,"[0,0.125)   "
6002010,6002361,"[0,0.125)   "
6002011,6002358,"[0,0.125)   "
6002011,6002100,"[0,0.125)   "
6002011,6002361,"[0,0.125)   "
6002012,6002358,"[0,0.125)   "
6002012,6002100,"[0,0.125)   "
6002012,6002361,"[0,0.125)   "
6002029,6002210,"[0,0.125)   "
6002029,6003047,"[0,0.125)   "
6002031,6002205,"[0,0.125)   "
6002031,6002377,"[0,0.125)   "
6002031,6002462,"[0,0.125)   "
6002031,6002210,"[0,0.125)   "
6002031,6003047,"[0,0.125)   "
6002040,6002106,"[0,0.125)   "
6002041,6002106,"[0,0.125)   "
6002045,6002106,"[0,0.125)   "
6002046,6002106,"[0,0.125)   "
6002057,6002157,"[0,0.125)   "
6002057,6002493,"[0,0.125)   "
6002058,6002157,"[0,0.125)   "
6002058,6002493,"[0,0.125)   "
6002059,6002493,"[0,0.125)   "
6002061,6002219,"[0,0.125)   "
6002061,6002489,"[0,0.125)   "
6002061,6002151,"[0,0.125)   "
6002061,6002493,"[0,0.125)   "
6002063,6002219,"[0,0.125)   "
6002063,6002489,"[0,0.125)   "
6002063,6002151,"[0,0.125)   "
6002063,6002493,"[0,0.125)   "
6002065,6002219,"[0,0.125)   "
6002065,6002489,"[0,0.125)   "
6002065,6002151,"[0,0.125)   "
6002065,6002817,"[0,0.125)   "
6002065,6002493,"[0,0.125)   "
6002066,6002219,"[0,0.125)   "
6002066,6002489,"[0,0.125)   "
6002066,6002151,"[0,0.125)   "
6002066,6002817,"[0,0.125)   "
6002066,6002493,"[0,0.125)   "
6002067,6002219,"[0,0.125)   "
6002067,6002489,"[0,0.125)   "
6002067,6002151,"[0,0.125)   "
6002067,6002817,"[0,0.125)   "
6002067,6002493,"[0,0.125)   "
6002074,6002777,"[0,0.125)   "
6002075,6002777,"[0,0.125)   "
6002097,6002760,"[0,0.125)   "
