ID1,ID2,r,r_cat
6002001,6002003,0.5,"[0.5,1)"
6002001,6002004,0.5,"[0.5,1)"
6002001,6002266,0.25,"[0.25,0.5)"
6002001,6002268,0.125,"[0.125,0.25)"
6002001,6002270,0.0625,"[0,0.125)"
6002001,6002271,0.0625,"[0,0.125)"
6002001,6002388,0.25,"[0.25,0.5)"
6002001,6002389,0.125,"[0.125,0.25)"
6002001,6002390,0.0625,"[0,0.125)"
6002001,6002391,0.0625,"[0,0.125)"
6002001,6002473,0.5,"[0.5,1)"
6002001,6002474,0.5,"[0.5,1)"
6002001,6002475,0.5,"[0.5,1)"
6002001,6002477,0.25,"[0.25,0.5)"
6002001,6002478,0.25,"[0.25,0.5)"
6002001,6002550,0.125,"[0.125,0.25)"
6002001,6002552,0.0625,"[0,0.125)"
6002001,6002553,0.0625,"[0,0.125)"
6002001,6002554,0.0625,"[0,0.125)"
6002001,6002700,0.25,"[0.25,0.5)"
6002001,6002701,0.25,"[0.25,0.5)"
6002001,6003053,0.25,"[0.25,0.5)"
6002001,6003054,0.25,"[0.25,0.5)"
6002002,6002003,0.5,"[0.5,1)"
6002002,6002004,0.5,"[0.5,1)"
6002002,6002702,0.5,"[0.5,1)"
6002002,6002703,0.5,"[0.5,1)"
6002003,6002001,0.5,"[0.5,1)"
6002003,6002002,0.5,"[0.5,1)"
6002003,6002004,0.5,"[0.5,1)"
6002003,6002266,0.125,"[0.125,0.25)"
6002003,6002268,0.0625,"[0,0.125)"
6002003,6002270,0.03125,"[0,0.125)"
6002003,6002271,0.03125,"[0,0.125)"
6002003,6002388,0.125,"[0.125,0.25)"
6002003,6002389,0.0625,"[0,0.125)"
6002003,6002390,0.03125,"[0,0.125)"
6002003,6002391,0.03125,"[0,0.125)"
6002003,6002473,0.25,"[0.25,0.5)"
6002003,6002474,0.25,"[0.25,0.5)"
6002003,6002475,0.25,"[0.25,0.5)"
6002003,6002477,0.125,"[0.125,0.25)"
6002003,6002478,0.125,"[0.125,0.25)"
6002003,6002550,0.0625,"[0,0.125)"
6002003,6002552,0.03125,"[0,0.125)"
6002003,6002553,0.03125,"[0,0.125)"
6002003,6002554,0.03125,"[0,0.125)"
6002003,6002700,0.125,"[0.125,0.25)"
6002003,6002701,0.125,"[0.125,0.25)"
6002003,6002702,0.25,"[0.25,0.5)"
6002003,6002703,0.25,"[0.25,0.5)"
6002003,6003053,0.125,"[0.125,0.25)"
6002003,6003054,0.125,"[0.125,0.25)"
6002004,6002001,0.5,"[0.5,1)"
6002004,6002002,0.5,"[0.5,1)"
6002004,6002003,0.5,"[0.5,1)"
6002004,6002266,0.125,"[0.125,0.25)"
6002004,6002268,0.0625,"[0,0.125)"
6002004,6002270,0.03125,"[0,0.125)"
6002004,6002271,0.03125,"[0,0.125)"
6002004,6002388,0.125,"[0.125,0.25)"
6002004,6002389,0.0625,"[0,0.125)"
6002004,6002390,0.03125,"[0,0.125)"
6002004,6002391,0.03125,"[0,0.125)"
6002004,6002473,0.25,"[0.25,0.5)"
6002004,6002474,0.25,"[0.25,0.5)"
6002004,6002475,0.25,"[0.25,0.5)"
6002004,6002477,0.125,"[0.125,0.25)"
6002004,6002478,0.125,"[0.125,0.25)"
6002004,6002550,0.0625,"[0,0.125)"
6002004,6002552,0.03125,"[0,0.125)"
6002004,6002553,0.03125,"[0,0.125)"
6002004,6002554,0.03125,"[0,0.125)"
6002004,6002700,0.125,"[0.125,0.25)"
6002004,6002701,0.125,"[0.125,0.25)"
6002004,6002702,0.25,"[0.25,0.5)"
6002004,6002703,0.25,"[0.25,0.5)"
6002004,6003053,0.125,"[0.125,0.25)"
