Ego,Alter,Support
6002497,6002505,Emotionally
6002497,6002131,Emotionally
6002497,6002282,Emotionally
6002497,6002122,Emotionally
6002497,6002122,Emotionally
6002497,6002505,Emotionally
6002497,6002131,Emotionally
6002497,6002282,Emotionally
6002497,6002282,Physically
6002497,6002505,Physically
6002497,6002122,Physically
6002497,6002131,Physically
6002497,6002505,Physically
6002497,6002131,Physically
6002497,6002282,Physically
6002497,6002122,Physically
6002497,6002505,Financially
6002497,6002122,Financially
6002497,6002282,Financially
6002497,6002131,Financially
6002497,6002505,Suggestion
6002497,6002122,Suggestion
6002497,6002282,Suggestion
6002497,6002131,Suggestion
6002497,6002505,Guaranty
6002497,6002131,Guaranty
6002497,6002282,Guaranty
6002497,6002122,Guaranty
6002505,6002282,Emotionally
6002505,6002497,Emotionally
6002505,6002453,Emotionally
6002505,6002108,Emotionally
6002505,6002272,Emotionally
6002505,6002453,Emotionally
6002505,6002282,Emotionally
6002505,6002497,Emotionally
6002505,6002013,Emotionally
6002505,6002006,Emotionally
6002505,6002006,Physically
6002505,6002013,Physically
6002505,6002282,Physically
6002505,6002453,Physically
6002505,6002497,Physically
6002505,6002497,Physically
6002505,6002282,Physically
6002505,6002013,Physically
6002505,6002099,Physically
6002505,6002122,Physically
6002505,6002282,Financially
6002505,6002122,Financially
6002505,6002332,Financially
6002505,6002400,Financially
6002505,6002301,Suggestion
6002505,6002108,Suggestion
6002505,6002272,Suggestion
6002505,6002282,Suggestion
6002505,6002332,Guaranty
6002505,6002201,Guaranty
6002505,6002282,Guaranty
6002332,6002453,Emotionally
6002332,6002497,Emotionally
6002332,6002505,Emotionally
6002332,6002282,Emotionally
6002332,6002505,Emotionally
6002332,6002282,Emotionally
6002332,6002497,Emotionally
6002332,6002453,Emotionally
6002332,6002282,Physically
6002332,6002453,Physically
6002332,6002497,Physically
6002332,6002505,Physically
6002332,6002453,Physically
6002332,6002282,Physically
6002332,6002497,Physically
6002332,6002505,Financially
6002332,6002282,Financially
6002332,6002497,Financially
6002332,6002505,Suggestion
6002332,6002282,Suggestion
6002332,6002530,Suggestion
6002332,6002032,Suggestion
6002332,6002505,Guaranty
6002513,6002301,Emotionally
6002513,6002006,Emotionally
6002513,6002108,Emotionally
6002513,6002104,Emotionally
6002513,6002108,Emotionally
6002513,6002104,Emotionally
6002513,6002301,Emotionally
6002513,6002006,Emotionally
6002513,6002006,Physically
6002513,6002104,Physically
6002513,6002108,Physically
6002513,6002301,Physically
6002513,6002104,Physically
6002513,6002108,Physically
6002513,6002108,Financially
6002513,6002104,Financially
6002513,6002006,Financially
6002513,6002108,Suggestion
6002513,6002104,Suggestion
6002513,6002505,Suggestion
6002513,6002505,Guaranty
6002513,6002301,Guaranty
6002520,6002108,Emotionally
6002520,6002069,Emotionally
6002520,6002108,Emotionally
6002520,6002069,Emotionally
6002520,6002108,Physically
6002520,6002082,Physically
6002520,6002282,Physically
6002520,6002032,Physically
6002520,6002482,Physically
6002520,6002482,Financially
6002520,6002108,Financially
6002520,6002482,Suggestion
6002520,6002522,Suggestion
6002520,6002513,Suggestion
